,artist_name,track_name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,YEAR,mode2
89,Lee Brice,Love Like Crazy,1,0.535,0.725,10,-5.1080000000000005,1,0.0275,0.0203,1.4499999999999993e-05,0.17600000000000002,0.292,78.48899999999998,217387,4,2010,major
90,Kanye West,Gorgeous,1,0.603,0.713,1,-3.625,0,0.0317,0.0207,0.00017900000000000001,0.431,0.12,91.95299999999999,357653,4,2010,minor
91,Volbeat,A Warrior's Call,1,0.374,0.903,10,-4.49,1,0.0825,0.00075,5.85e-06,0.244,0.429,109.118,263080,3,2010,major
92,T.I.,That's All She Wrote (feat. Eminem),1,0.496,0.785,7,-3.472,1,0.306,0.0328,0.0,0.0941,0.35700000000000004,170.02,318360,4,2010,major
93,Sugarland,Stuck Like Glue,1,0.7020000000000001,0.795,1,-4.763999999999999,1,0.0568,0.32899999999999996,0.0,0.0505,0.836,83.961,247587,4,2010,major
94,B.o.B,Magic (feat. Rivers Cuomo),1,0.5489999999999999,0.932,8,-4.11,0,0.34299999999999997,0.0127,0.0,0.34700000000000003,0.787,82.439,196133,4,2010,minor
95,Kenny Chesney,You and Tequila (feat. Grace Potter),1,0.691,0.45399999999999996,6,-9.13,1,0.0256,0.4370000000000001,0.00227,0.0783,0.35,135.839,242840,4,2010,major
96,Eminem,Space Bound,1,0.6679999999999999,0.8859999999999999,0,-3.4739999999999998,1,0.11699999999999999,0.0417,0.0,0.45899999999999996,0.503,142.002,278640,4,2010,major
97,Justin Bieber,That Should Be Me,1,0.545,0.602,8,-5.71,1,0.0341,0.201,0.0,0.151,0.22699999999999998,139.89,232720,4,2010,major
98,Waka Flocka Flame,Hard in Da Paint,1,0.611,0.66,11,-5.882999999999999,1,0.0839,0.198,0.0,0.365,0.583,71.544,246387,4,2010,major
99,Drake,Over,1,0.35,0.845,7,-5.614,1,0.2,0.0107,0.0,0.12300000000000001,0.45,99.64299999999999,233560,5,2010,major
100,Brantley Gilbert,Kick It In The Sticks,1,0.493,0.843,8,-5.9239999999999995,0,0.0707,0.00507,0.0,0.13,0.523,158.028,225747,4,2010,minor
